title,cast,genres,combined
max,Thomas Haden Church Josh Wiggins Lauren Graham Robbie Amell Mia Xitlali,Adventure Drama Family,Adventure Drama Family Thomas Haden Church Josh Wiggins Lauren Graham Robbie Amell Mia Xitlali
shaun the sheep movie,Justin Fletcher Omid Djalili Richard Webber Kate Harbour Tim Hands,Family Animation Comedy Adventure,Family Animation Comedy Adventure Justin Fletcher Omid Djalili Richard Webber Kate Harbour Tim Hands
louder than bombs,Gabriel Byrne Isabelle Huppert Jesse Eisenberg Devin Druid Amy Ryan,Drama,Drama Gabriel Byrne Isabelle Huppert Jesse Eisenberg Devin Druid Amy Ryan
a perfect day,Olga Kurylenko Benicio del Toro Tim Robbins MÃ©lanie Thierry Fedja Stukan,Comedy Drama,Comedy Drama Olga Kurylenko Benicio del Toro Tim Robbins MÃ©lanie Thierry Fedja Stukan
the gunman,Sean Penn Jasmine Trinca Javier Bardem Ray Winstone Mark Rylance,Action Drama Crime,Action Drama Crime Sean Penn Jasmine Trinca Javier Bardem Ray Winstone Mark Rylance
unfriended,Shelley Hennig Moses Jacob Storm Renee Olstead William Peltz Jacob Wysocki,Horror Thriller,Horror Thriller Shelley Hennig Moses Jacob Storm Renee Olstead William Peltz Jacob Wysocki
hot pursuit,Reese Witherspoon SofÃ­a Vergara Michael Mosley John Carroll Lynch Richard T. Jones,Action Crime Comedy,Action Crime Comedy Reese Witherspoon SofÃ­a Vergara Michael Mosley John Carroll Lynch Richard T. Jones
insidious: chapter 3,Dermot Mulroney Stefanie Scott Lin Shaye Leigh Whannell Angus Sampson,Drama Horror Thriller,Drama Horror Thriller Dermot Mulroney Stefanie Scott Lin Shaye Leigh Whannell Angus Sampson
z for zachariah,Margot Robbie Chiwetel Ejiofor Chris Pine,Drama Science Fiction Thriller,Drama Science Fiction Thriller Margot Robbie Chiwetel Ejiofor Chris Pine
dragonheart 3: the sorcerer's curse,Julian Morris Tamzin Merchant Jassa Ahluwalia Ben Kingsley Jonjo O'Neill,Action Adventure Fantasy,Action Adventure Fantasy Julian Morris Tamzin Merchant Jassa Ahluwalia Ben Kingsley Jonjo O'Neill
the lady in the van,Maggie Smith Alex Jennings Frances de la Tour Gwen Taylor Dominic Cooper,Comedy Drama,Comedy Drama Maggie Smith Alex Jennings Frances de la Tour Gwen Taylor Dominic Cooper
victor frankenstein,James McAvoy Daniel Radcliffe Jessica Brown Findlay Andrew Scott Charles Dance,Drama Science Fiction Thriller,Drama Science Fiction Thriller James McAvoy Daniel Radcliffe Jessica Brown Findlay Andrew Scott Charles Dance
brothers of the wind,Manuel Camacho Jean Reno Tobias Moretti Eva Kuen,Adventure Drama Family,Adventure Drama Family Manuel Camacho Jean Reno Tobias Moretti Eva Kuen
anomalisa,Jennifer Jason Leigh David Thewlis Tom Noonan,Animation Comedy Drama Romance,Animation Comedy Drama Romance Jennifer Jason Leigh David Thewlis Tom Noonan
bone tomahawk,Kurt Russell Richard Jenkins Matthew Fox Lili Simmons Sean Young,Horror Western Adventure Drama,Horror Western Adventure Drama Kurt Russell Richard Jenkins Matthew Fox Lili Simmons Sean Young
regression,Ethan Hawke Emma Watson Aaron Ashmore Devon Bostick David Thewlis,Horror Mystery Thriller,Horror Mystery Thriller Ethan Hawke Emma Watson Aaron Ashmore Devon Bostick David Thewlis
pawn sacrifice,Tobey Maguire Lily Rabe Peter Sarsgaard Liev Schreiber Sophie NÃ©lisse,Drama,Drama Tobey Maguire Lily Rabe Peter Sarsgaard Liev Schreiber Sophie NÃ©lisse
the man who knew infinity,Jeremy Irons Dev Patel Toby Jones Stephen Fry Jeremy Northam,Drama,Drama Jeremy Irons Dev Patel Toby Jones Stephen Fry Jeremy Northam
momentum,Olga Kurylenko Morgan Freeman James Purefoy Jenna Saras Lee-Anne Summers,Thriller Action,Thriller Action Olga Kurylenko Morgan Freeman James Purefoy Jenna Saras Lee-Anne Summers
the diary of a teenage girl,Bel Powley Kristen Wiig Alexander SkarsgÃ¥rd Christopher Meloni Margarita Levieva,Drama Romance,Drama Romance Bel Powley Kristen Wiig Alexander SkarsgÃ¥rd Christopher Meloni Margarita Levieva
pay the ghost,Nicolas Cage Sarah Wayne Callies Veronica Ferres Lyriq Bent Lauren Beatty,Horror Thriller,Horror Thriller Nicolas Cage Sarah Wayne Callies Veronica Ferres Lyriq Bent Lauren Beatty
the voices,Ryan Reynolds Gemma Arterton Anna Kendrick Jacki Weaver Ella Smith,Horror Thriller Comedy Crime,Horror Thriller Comedy Crime Ryan Reynolds Gemma Arterton Anna Kendrick Jacki Weaver Ella Smith
last knights,Clive Owen Morgan Freeman Aksel Hennie Shohreh Aghdashloo James Babson,Action Adventure,Action Adventure Clive Owen Morgan Freeman Aksel Hennie Shohreh Aghdashloo James Babson
il racconto dei racconti,Salma Hayek Vincent Cassel John C. Reilly Toby Jones Shirley Henderson,Romance Fantasy Horror,Romance Fantasy Horror Salma Hayek Vincent Cassel John C. Reilly Toby Jones Shirley Henderson
irrational man,Emma Stone Joaquin Phoenix Jamie Blackley Parker Posey Meredith Hagner,Mystery Drama,Mystery Drama Emma Stone Joaquin Phoenix Jamie Blackley Parker Posey Meredith Hagner
queen of the desert,Nicole Kidman James Franco Robert Pattinson Damian Lewis Jenny Agutter,Drama History,Drama History Nicole Kidman James Franco Robert Pattinson Damian Lewis Jenny Agutter
ricki and the flash,Meryl Streep Kevin Kline Mamie Gummer Sebastian Stan Audra McDonald,Comedy Drama Music,Comedy Drama Music Meryl Streep Kevin Kline Mamie Gummer Sebastian Stan Audra McDonald
miss you already,Drew Barrymore Toni Collette Dominic Cooper Jacqueline Bisset Paddy Considine,Comedy Drama Romance,Comedy Drama Romance Drew Barrymore Toni Collette Dominic Cooper Jacqueline Bisset Paddy Considine
kung fury,David Sandberg Jorma Taccone Leopold Nilsson Andreas Cahling Helene Ahlson,Action Comedy Science Fiction Fantasy,Action Comedy Science Fiction Fantasy David Sandberg Jorma Taccone Leopold Nilsson Andreas Cahling Helene Ahlson
the perfect guy,Michael Ealy Sanaa Lathan Morris Chestnut Kathryn Morris Rutina Wesley,Drama Thriller,Drama Thriller Michael Ealy Sanaa Lathan Morris Chestnut Kathryn Morris Rutina Wesley
a bigger splash,Tilda Swinton Matthias Schoenaerts Ralph Fiennes Dakota Johnson Aurore ClÃ©ment,Crime Drama Mystery Thriller,Crime Drama Mystery Thriller Tilda Swinton Matthias Schoenaerts Ralph Fiennes Dakota Johnson Aurore ClÃ©ment
while we're young,Ben Stiller Naomi Watts Adam Driver Amanda Seyfried Charles Grodin,Drama Comedy,Drama Comedy Ben Stiller Naomi Watts Adam Driver Amanda Seyfried Charles Grodin
get hard,Will Ferrell Kevin Hart Alison Brie Craig T. Nelson T.I.,Comedy,Comedy Will Ferrell Kevin Hart Alison Brie Craig T. Nelson T.I.
kidnapping mr. heineken,Anthony Hopkins Jim Sturgess Sam Worthington Ryan Kwanten Mark van Eeuwen,Drama Action Crime Thriller,Drama Action Crime Thriller Anthony Hopkins Jim Sturgess Sam Worthington Ryan Kwanten Mark van Eeuwen
the ridiculous 6,Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo,Comedy Western,Comedy Western Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo
kill me three times,Teresa Palmer Simon Pegg Luke Hemsworth Sullivan Stapleton Alice Braga,Comedy Thriller,Comedy Thriller Teresa Palmer Simon Pegg Luke Hemsworth Sullivan Stapleton Alice Braga
the 33,Antonio Banderas Rodrigo Santoro Juliette Binoche James Brolin Lou Diamond Phillips,History Drama,History Drama Antonio Banderas Rodrigo Santoro Juliette Binoche James Brolin Lou Diamond Phillips
suffragette,Carey Mulligan Helena Bonham Carter Meryl Streep Ben Whishaw Brendan Gleeson,Drama History,Drama History Carey Mulligan Helena Bonham Carter Meryl Streep Ben Whishaw Brendan Gleeson
45 years,Charlotte Rampling Tom Courtenay Dolly Wells Geraldine James David Sibley,Drama,Drama Charlotte Rampling Tom Courtenay Dolly Wells Geraldine James David Sibley
we are your friends,Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro Lindblad,Drama Music Romance,Drama Music Romance Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro Lindblad
barely lethal,Hailee Steinfeld Sophie Turner Jessica Alba Samuel L. Jackson Dove Cameron,Adventure Action Comedy,Adventure Action Comedy Hailee Steinfeld Sophie Turner Jessica Alba Samuel L. Jackson Dove Cameron
macbeth,Michael Fassbender Marion Cotillard Paddy Considine Sean Harris Jack Reynor,History Drama War,History Drama War Michael Fassbender Marion Cotillard Paddy Considine Sean Harris Jack Reynor
extraction,Bruce Willis Gina Carano Kellan Lutz D. B. Sweeney Dan Bilzerian,Action Thriller,Action Thriller Bruce Willis Gina Carano Kellan Lutz D. B. Sweeney Dan Bilzerian
jenny's wedding,Katherine Heigl Tom Wilkinson Alexis Bledel Grace Gummer Linda Emond,Comedy Drama,Comedy Drama Katherine Heigl Tom Wilkinson Alexis Bledel Grace Gummer Linda Emond
descendants,Booboo Stewart Dove Cameron Keegan Connor Tracy Stephanie Bennett Dan Payne,Music Action Adventure Comedy Family,Music Action Adventure Comedy Family Booboo Stewart Dove Cameron Keegan Connor Tracy Stephanie Bennett Dan Payne
tumbledown,Joe Manganiello Jason Sudeikis Blythe Danner Rebecca Hall Dianna Agron,Music Romance Comedy,Music Romance Comedy Joe Manganiello Jason Sudeikis Blythe Danner Rebecca Hall Dianna Agron
far from the madding crowd,Carey Mulligan Matthias Schoenaerts Michael Sheen Tom Sturridge Juno Temple,Romance Drama,Romance Drama Carey Mulligan Matthias Schoenaerts Michael Sheen Tom Sturridge Juno Temple
the end of the tour,Jason Segel Jesse Eisenberg Anna Chlumsky Mamie Gummer Joan Cusack,Drama,Drama Jason Segel Jesse Eisenberg Anna Chlumsky Mamie Gummer Joan Cusack
the second best exotic marigold hotel,Dev Patel Judi Dench Richard Gere Maggie Smith Bill Nighy,Drama Comedy,Drama Comedy Dev Patel Judi Dench Richard Gere Maggie Smith Bill Nighy
little boy,Jakob Salvati Emily Watson Cary-Hiroyuki Tagawa Michael Rapaport David Henrie,Comedy Drama War,Comedy Drama War Jakob Salvati Emily Watson Cary-Hiroyuki Tagawa Michael Rapaport David Henrie
lego dc comics super heroes: justice league vs. bizarro league,Nolan North Troy Baker Diedrich Bader Khary Payton James Arnold Taylor,Action Adventure Animation Family,Action Adventure Animation Family Nolan North Troy Baker Diedrich Bader Khary Payton James Arnold Taylor
remember,Christopher Plummer Martin Landau Dean Norris Henry Czerny Bruno Ganz,Drama Thriller,Drama Thriller Christopher Plummer Martin Landau Dean Norris Henry Czerny Bruno Ganz
aloha,Bradley Cooper Emma Stone Rachel McAdams John Krasinski Bill Murray,Adventure Comedy Romance,Adventure Comedy Romance Bradley Cooper Emma Stone Rachel McAdams John Krasinski Bill Murray
accidental love,Jake Gyllenhaal Jessica Biel James Marsden Catherine Keener Paul Reubens,Romance Comedy,Romance Comedy Jake Gyllenhaal Jessica Biel James Marsden Catherine Keener Paul Reubens
halo: the fall of reach,Steve Downes Jen Taylor Michelle Lukes Travis Willingham Brittany Uomoleale,Action Animation Science Fiction,Action Animation Science Fiction Steve Downes Jen Taylor Michelle Lukes Travis Willingham Brittany Uomoleale
our brand is crisis,Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy,Drama Comedy,Drama Comedy Sandra Bullock Anthony Mackie Billy Bob Thornton Zoe Kazan Scoot McNairy
into the forest,Ellen Page Evan Rachel Wood Max Minghella Callum Keith Rennie Michael Eklund,Drama Science Fiction,Drama Science Fiction Ellen Page Evan Rachel Wood Max Minghella Callum Keith Rennie Michael Eklund
the invitation,Michiel Huisman Logan Marshall-Green Tammy Blanchard Mike Doyle John Carroll Lynch,Thriller,Thriller Michiel Huisman Logan Marshall-Green Tammy Blanchard Mike Doyle John Carroll Lynch
the benefactor,Dakota Fanning Theo James Richard Gere Clarke Peters Brian Anthony Wilson,Drama,Drama Dakota Fanning Theo James Richard Gere Clarke Peters Brian Anthony Wilson
open season: scared silly,Garry Chalk Kathleen Barr Willa Townsend Melissa Sturm Trevor Devall,Animation Comedy Family Adventure,Animation Comedy Family Adventure Garry Chalk Kathleen Barr Willa Townsend Melissa Sturm Trevor Devall
cop car,Kevin Bacon James Freedson-Jackson Hays Wellford Shea Whigham Camryn Manheim,Thriller,Thriller Kevin Bacon James Freedson-Jackson Hays Wellford Shea Whigham Camryn Manheim
mojave,Oscar Isaac Garrett Hedlund Mark Wahlberg Walton Goggins Louise Bourgoin,Thriller,Thriller Oscar Isaac Garrett Hedlund Mark Wahlberg Walton Goggins Louise Bourgoin
sleeping with other people,Jason Sudeikis Alison Brie Adam Scott Natasha Lyonne Amanda Peet,Comedy,Comedy Jason Sudeikis Alison Brie Adam Scott Natasha Lyonne Amanda Peet
forsaken,Demi Moore Kiefer Sutherland Donald Sutherland Brian Cox Siobhan Williams,Western Drama,Western Drama Demi Moore Kiefer Sutherland Donald Sutherland Brian Cox Siobhan Williams
amy,Amy Winehouse Mark Ronson Tony Bennett Pete Doherty Blake Fielder,Documentary Music,Documentary Music Amy Winehouse Mark Ronson Tony Bennett Pete Doherty Blake Fielder
madame bovary,Mia Wasikowska Ezra Miller Laura Carmichael Henry Lloyd-Hughes Paul Giamatti,Drama,Drama Mia Wasikowska Ezra Miller Laura Carmichael Henry Lloyd-Hughes Paul Giamatti
the hallow,Joseph Mawle Bojana NovakoviÄ‡ Michael McElhatton Gary Lydon Stuart Graham,Fantasy Horror,Fantasy Horror Joseph Mawle Bojana NovakoviÄ‡ Michael McElhatton Gary Lydon Stuart Graham
barbie in princess power,Britt Irvin Michael Kopsa Kelly Sheridan,Family Animation,Family Animation Britt Irvin Michael Kopsa Kelly Sheridan
howl,Ed Speleers Shauna Macdonald Elliot Cowan Holly Weston Amit Shah,Horror,Horror Ed Speleers Shauna Macdonald Elliot Cowan Holly Weston Amit Shah
freeheld,Julianne Moore Ellen Page Steve Carell Michael Shannon Luke Grimes,Romance Drama,Romance Drama Julianne Moore Ellen Page Steve Carell Michael Shannon Luke Grimes
man up,Simon Pegg Lake Bell Rory Kinnear Ken Stott Harriet Walter,Romance Comedy,Romance Comedy Simon Pegg Lake Bell Rory Kinnear Ken Stott Harriet Walter
love,Karl Glusman Aomi Muyock Klara Kristin Juan Saavedra Gaspar NoÃ©,Drama Romance,Drama Romance Karl Glusman Aomi Muyock Klara Kristin Juan Saavedra Gaspar NoÃ©
truth,Robert Redford Cate Blanchett Elisabeth Moss Topher Grace Dennis Quaid,Drama,Drama Robert Redford Cate Blanchett Elisabeth Moss Topher Grace Dennis Quaid
return to sender,Rosamund Pike Rumer Willis Nick Nolte Scout Taylor-Compton Shiloh Fernandez,Thriller,Thriller Rosamund Pike Rumer Willis Nick Nolte Scout Taylor-Compton Shiloh Fernandez
danny collins,Al Pacino Annette Bening Jennifer Garner Bobby Cannavale Christopher Plummer,Comedy Drama Music,Comedy Drama Music Al Pacino Annette Bening Jennifer Garner Bobby Cannavale Christopher Plummer
rock the kasbah,Bill Murray Zooey Deschanel Bruce Willis Kate Hudson Taylor Kinney,Comedy Music War,Comedy Music War Bill Murray Zooey Deschanel Bruce Willis Kate Hudson Taylor Kinney
fathers and daughters,Amanda Seyfried Kylie Rogers Russell Crowe Aaron Paul QuvenzhanÃ© Wallis,Drama,Drama Amanda Seyfried Kylie Rogers Russell Crowe Aaron Paul QuvenzhanÃ© Wallis
"hello, my name is doris",Sally Field Max Greenfield Beth Behrs Stephen Root Natasha Lyonne,Comedy Drama Romance,Comedy Drama Romance Sally Field Max Greenfield Beth Behrs Stephen Root Natasha Lyonne
the vatican tapes,Olivia Taylor Dudley Michael PeÃ±a Djimon Hounsou Dougray Scott Peter Andersson,Thriller Horror,Thriller Horror Olivia Taylor Dudley Michael PeÃ±a Djimon Hounsou Dougray Scott Peter Andersson
99 homes,Andrew Garfield Laura Dern Michael Shannon Tim Guinee J.D. Evermore,Drama,Drama Andrew Garfield Laura Dern Michael Shannon Tim Guinee J.D. Evermore
hot tub time machine 2,Rob Corddry Craig Robinson Clark Duke Adam Scott Chevy Chase,Comedy,Comedy Rob Corddry Craig Robinson Clark Duke Adam Scott Chevy Chase
knight of cups,Christian Bale Cate Blanchett Natalie Portman Brian Dennehy Antonio Banderas,Romance Drama,Romance Drama Christian Bale Cate Blanchett Natalie Portman Brian Dennehy Antonio Banderas
manglehorn,Al Pacino Chris Messina Holly Hunter Harmony Korine Natalie Wilemon,Drama,Drama Al Pacino Chris Messina Holly Hunter Harmony Korine Natalie Wilemon
mississippi grind,Ryan Reynolds Ben Mendelsohn Sienna Miller Analeigh Tipton Alfre Woodard,Drama,Drama Ryan Reynolds Ben Mendelsohn Sienna Miller Analeigh Tipton Alfre Woodard
400 days,Caity Lotz Brandon Routh Tom Cavanagh Dane Cook Ben Feldman,Mystery Science Fiction Thriller,Mystery Science Fiction Thriller Caity Lotz Brandon Routh Tom Cavanagh Dane Cook Ben Feldman
lava,Napua Greig Kuana Torres Kahele,Animation Comedy Family Fantasy Music,Animation Comedy Family Fantasy Music Napua Greig Kuana Torres Kahele
air,Norman Reedus Djimon Hounsou Sandrine Holt Peter Benson Michael Hogan,Thriller Science Fiction,Thriller Science Fiction Norman Reedus Djimon Hounsou Sandrine Holt Peter Benson Michael Hogan
riot,Matthew Reese Dolph Lundgren Danielle Chuchran Chuck Liddell,Action,Action Matthew Reese Dolph Lundgren Danielle Chuchran Chuck Liddell
septembers of shiraz,Adrien Brody Salma Hayek Gabriella Wright Shohreh Aghdashloo Bashar Rahal,Drama Thriller,Drama Thriller Adrien Brody Salma Hayek Gabriella Wright Shohreh Aghdashloo Bashar Rahal
every thing will be fine,James Franco Rachel McAdams Charlotte Gainsbourg Marie-JosÃ©e Croze Peter Stormare,Drama,Drama James Franco Rachel McAdams Charlotte Gainsbourg Marie-JosÃ©e Croze Peter Stormare
extinction,Matthew Fox Jeffrey Donovan Quinn McColgan Valeria Vereau Clara Lago,Drama Horror Science Fiction,Drama Horror Science Fiction Matthew Fox Jeffrey Donovan Quinn McColgan Valeria Vereau Clara Lago
the childhood of a leader,BÃ©rÃ©nice Bejo Liam Cunningham Robert Pattinson Stacy Martin Yolande Moreau,Mystery Drama Horror,Mystery Drama Horror BÃ©rÃ©nice Bejo Liam Cunningham Robert Pattinson Stacy Martin Yolande Moreau
a walk in the woods,Robert Redford Nick Nolte Emma Thompson Nick Offerman Kristen Schaal,Drama Adventure Comedy,Drama Adventure Comedy Robert Redford Nick Nolte Emma Thompson Nick Offerman Kristen Schaal
clown,Peter Stormare Laura Allen Elizabeth Whitmere Christian Distefano John MacDonald,Horror,Horror Peter Stormare Laura Allen Elizabeth Whitmere Christian Distefano John MacDonald
the lazarus effect,Olivia Wilde Mark Duplass Donald Glover Evan Peters Sarah Bolger,Thriller Horror,Thriller Horror Olivia Wilde Mark Duplass Donald Glover Evan Peters Sarah Bolger
batman vs. robin,Jason O'Mara Stuart Allan David McCallum Sean Maher Jeremy Sisto,Action Adventure Animation,Action Adventure Animation Jason O'Mara Stuart Allan David McCallum Sean Maher Jeremy Sisto
careful what you wish for,Dermot Mulroney Kandyse McClure Isabel Lucas Graham Rogers Nick Jonas,Thriller,Thriller Dermot Mulroney Kandyse McClure Isabel Lucas Graham Rogers Nick Jonas
racing extinction,Elon Musk Jane Goodall Louie Psihoyos Leilani Munter Charles Hambleton,Adventure Documentary,Adventure Documentary Elon Musk Jane Goodall Louie Psihoyos Leilani Munter Charles Hambleton
unfinished business,Vince Vaughn Dave Franco James Marsden June Diane Raphael Sienna Miller,Comedy,Comedy Vince Vaughn Dave Franco James Marsden June Diane Raphael Sienna Miller
